时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2017-06-01 16:00:00,0.14,-1.87,0,-187305,9994492,0
2017-06-02 16:00:00,-0.18,-1.44,43418,0,0,0
2017-06-05 16:00:00,-0.69,-1.38,5931,0,8262176,-8260295
2017-06-06 16:00:00,0,-0.76,62285,0,0,0
2017-06-07 16:00:00,1.17,0.89,164784,0,0,0
2017-06-08 16:00:00,1.95,0.98,9168,0,0,0
2017-06-09 16:00:00,2.38,1.24,25592,0,0,0
2017-06-12 16:00:00,2.33,-0.39,0,-163218,9738699,-9735082
2017-06-13 16:00:00,2.56,0.57,96062,0,0,0
2017-06-14 16:00:00,1.21,0.14,0,-43190,0,0
2017-06-15 16:00:00,1.03,0.8,66021,0,0,0
2017-06-16 16:00:00,0.74,0.92,12267,0,0,0
2017-06-19 16:00:00,1.74,1.06,14155,0,7029490,-9389274
2017-06-20 16:00:00,1.53,0.82,0,-23956,0,0
2017-06-21 16:00:00,2.72,1.8,98484,0,0,0
2017-06-22 16:00:00,2.79,1.86,5807,0,0,0
2017-06-23 16:00:00,3.72,3.2,133382,0,0,0
2017-06-26 16:00:00,5.02,3.52,31937,0,9631026,-7261858
2017-06-27 16:00:00,5.21,4,48850,0,0,0
2017-06-28 16:00:00,4.39,3.1,0,-90470,0,0
2017-06-29 16:00:00,5.04,3.5,40289,0,0,0
2017-06-30 16:00:00,4.98,3.38,0,-12164,0,0
2017-07-03 16:00:00,4.52,3.09,0,-29342,7252415,-7595438
2017-07-04 16:00:00,3.64,2.52,0,-56821,0,0
2017-07-05 16:00:00,4.78,3.19,66775,0,0,0
2017-07-06 16:00:00,4.79,2.89,0,-29355.4,0,0
2017-07-07 16:00:00,4.67,2.96,6125,0,0,0
2017-07-10 16:00:00,4.6,1.99,0,-96221,8884601,-8891054
2017-07-11 16:00:00,5.09,2.38,39165,0,0,0
2017-07-12 16:00:00,4.75,1.95,0,-43044,0,0
2017-07-13 16:00:00,5.56,2,4723,0,0,0
2017-07-14 16:00:00,6.02,2.01,906.2,0,0,0
2017-07-17 16:00:00,4.89,-2.6,0,-461204,8831013,-9148465
2017-07-18 16:00:00,4.99,-1.91,69078,0,0,0
2017-07-19 16:00:00,6.78,0.16,207313,0,0,0
2017-07-20 16:00:00,7.3,0.59,42834,0,0,0
2017-07-21 16:00:00,6.75,0.41,0,-17852,0,0
2017-07-24 16:00:00,7.17,0.18,0,-23556,9032615,-8338591
2017-07-25 16:00:00,6.49,-0.5,0,-67561,0,0
2017-07-26 16:00:00,6.08,-0.28,21564,0,0,0
2017-07-27 16:00:00,6.28,0.23,51122,0,0,0
2017-07-28 16:00:00,6.56,0.21,0,-1891,0,0
2017-07-31 16:00:00,7.01,-0.17,0,-38286,8002575,-8349768
2017-08-01 16:00:00,7.94,0.87,103935,0,0,0
2017-08-02 16:00:00,7.67,0.96,9833,0,0,0
2017-08-03 16:00:00,6.73,0.36,0,-59891,0,0
2017-08-04 16:00:00,6.15,0.2,0,-16208,0,0
2017-08-07 16:00:00,6.7,0.43,22554,0,7333095,-8320475
2017-08-08 16:00:00,6.85,0.47,3958,0,0,0
2017-08-09 16:00:00,6.82,0.66,19673,0,0,0
2017-08-10 16:00:00,6.39,0.5,0,-16637,0,0
2017-08-11 16:00:00,4.42,-0.91,0,-140750,0,0
2017-08-14 16:00:00,5.78,0.01,91847,0,7269816,-8236100
2017-08-15 16:00:00,6.1,0.44,43472,0,0,0
2017-08-16 16:00:00,5.97,0.37,0,-7180,0,0
2017-08-17 16:00:00,6.54,0.93,55734,0,0,0
2017-08-18 16:00:00,6.64,0.66,0,-26921,0,0
2017-08-21 16:00:00,7.1,0.82,16468,0,8418080,-6106452
2017-08-22 16:00:00,7.43,0.23,0,-59543,0,0
2017-08-23 16:00:00,7.54,-0.07,0,-29883,0,0
2017-08-24 16:00:00,6.92,-1.07,0,-100318,0,0
2017-08-25 16:00:00,8.67,0.32,139299,0,0,0
2017-08-28 16:00:00,10.02,-0.62,0,-94233,9353795,-9355641
2017-08-29 16:00:00,9.78,-0.78,0,-16309,0,0
2017-08-30 16:00:00,9.77,-0.87,0,-8623,0,0
2017-08-31 16:00:00,9.43,-1.2,0,-32673,0,0
