Datetime,Benchmark,Strategy,Para1,Para2,Para3,Para4
2017-06-01 16:00:00,0.14,0,0,0,0,0
2017-06-02 16:00:00,-0.18,0,0,0,0,0
2017-06-05 16:00:00,-0.69,0.12,12105,0,8992320,0
2017-06-06 16:00:00,0,0.52,40269,0,0,0
2017-06-07 16:00:00,1.17,1.79,126697,0,0,0
2017-06-08 16:00:00,1.95,2.14,35106,0,0,0
2017-06-09 16:00:00,2.38,2.34,19690,0,0,0
2017-06-12 16:00:00,2.33,1.35,0,-98441.2,8493918,-8200174
2017-06-13 16:00:00,2.56,2.44,108959,0,0,0
2017-06-14 16:00:00,1.21,1.82,0,-62316.2,0,0
2017-06-15 16:00:00,1.03,2.17,34744.2,0,0,0
2017-06-16 16:00:00,0.74,2.08,0,-8313,0,0
2017-06-19 16:00:00,1.74,2.87,79000,0,8844823,-8146622
2017-06-20 16:00:00,1.53,2.79,0,-8255,0,0
2017-06-21 16:00:00,2.72,3.39,59366,0,0,0
2017-06-22 16:00:00,2.79,2.88,0,-50403,0,0
2017-06-23 16:00:00,3.72,3.5,61370,0,0,0
2017-06-26 16:00:00,5.02,4.54,104098.68,0,7563203,-7905743
2017-06-27 16:00:00,5.21,4.27,0,-26416,0,0
2017-06-28 16:00:00,4.39,3.76,0,-50868,0,0
2017-06-29 16:00:00,5.04,4.31,55035,0,0,0
2017-06-30 16:00:00,4.98,4.59,27572.5,0,0,0
2017-07-03 16:00:00,4.52,3.72,0,-87359,8761079,-8374383.5
2017-07-04 16:00:00,3.64,2.88,0,-84096,0,0
2017-07-05 16:00:00,4.78,4.24,136313,0,0,0
2017-07-06 16:00:00,4.79,3.96,0,-28039.32,0,0
2017-07-07 16:00:00,4.67,3.58,0,-37700.6,0,0
2017-07-10 16:00:00,4.6,3.3,0,-28128.2,7614754,-7599566.2
2017-07-11 16:00:00,5.09,3.3,0,-308.98,0,0
2017-07-12 16:00:00,4.75,2.45,0,-84927.6,0,0
2017-07-13 16:00:00,5.56,3.6,115031.7,0,0,0
2017-07-14 16:00:00,6.02,4.17,56754.6,0,0,0
2017-07-17 16:00:00,4.89,2.67,0,-149197.9,8040324,-8006377.5
2017-07-18 16:00:00,4.99,2.42,0,-25557,0,0
2017-07-19 16:00:00,6.78,4.1,168361,0,0,0
2017-07-20 16:00:00,7.3,5.16,106263,0,0,0
2017-07-21 16:00:00,6.75,4.93,0,-23774.08,0,0
2017-07-24 16:00:00,7.17,5.67,74727,0,8810085,-8811603
2017-07-25 16:00:00,6.49,5.07,0,-60770,0,0
2017-07-26 16:00:00,6.08,4.99,0,-7537,0,0
2017-07-27 16:00:00,6.28,5.41,41566,0,0,0
2017-07-28 16:00:00,6.56,5.32,0,-8911,0,0
2017-07-31 16:00:00,7.01,5.45,13770,0,8131856,-8124001
2017-08-01 16:00:00,7.94,5.75,29578,0,0,0
2017-08-02 16:00:00,7.67,4.94,0,-81021,0,0
2017-08-03 16:00:00,6.73,4.87,0,-7321,0,0
2017-08-04 16:00:00,6.15,5.19,32583,0,0,0
2017-08-07 16:00:00,6.7,5.82,62816,0,7086684,-7085562
2017-08-08 16:00:00,6.85,6.13,30729,0,0,0
2017-08-09 16:00:00,6.82,6.01,0,-11355,0,0
2017-08-10 16:00:00,6.39,5.6,0,-41768,0,0
2017-08-11 16:00:00,4.42,4.34,0,-125300,0,0
2017-08-14 16:00:00,5.78,6.01,166857,0,7708769,-7708988
2017-08-15 16:00:00,6.1,6.51,49738,0,0,0
2017-08-16 16:00:00,5.97,6.54,3394,0,0,0
2017-08-17 16:00:00,6.54,7.04,49212,0,0,0
2017-08-18 16:00:00,6.64,7.2,16108,0,0,0
2017-08-21 16:00:00,7.1,7.21,1252,0,7225868,-7225531
2017-08-22 16:00:00,7.43,7.2,0,-1153,0,0
2017-08-23 16:00:00,7.54,7.32,12304,0,0,0
2017-08-24 16:00:00,6.92,7.09,0,-23194,0,0
2017-08-25 16:00:00,8.67,8.46,137521,0,0,0
2017-08-28 16:00:00,10.02,10.35,188170,0,7262900,-7267877
2017-08-29 16:00:00,9.78,9.6,0,-74556,0,0
2017-08-30 16:00:00,9.77,9.78,17649,0,0,0
2017-08-31 16:00:00,9.43,10.05,27261,0,0,0
2017-09-01 16:00:00,9.67,10.21,15547,0,0,0
2017-09-04 16:00:00,10.1,9.84,0,-36118,8890906,-8887559
2017-09-05 16:00:00,10.43,10.05,20738,0,0,0
2017-09-06 16:00:00,10.21,10.08,2570,0,0,0
2017-09-07 16:00:00,9.65,10.08,0,-19,0,0
2017-09-08 16:00:00,9.54,9.94,0,-13586,0,0
2017-09-11 16:00:00,9.53,10.29,35359,0,7420458,-7499127
2017-09-12 16:00:00,9.88,10.64,34726,0,0,0
2017-09-13 16:00:00,10.01,10.46,0,-17776,0,0
2017-09-14 16:00:00,9.65,10.01,0,-45119,0,0
2017-09-15 16:00:00,9.69,9.97,0,-4624,0,0
2017-09-18 16:00:00,10.03,10.63,65965,0,8427759,-8430404
2017-09-19 16:00:00,9.71,10.71,8562,0,0,0
2017-09-20 16:00:00,10.01,11.44,72632,0,0,0
2017-09-21 16:00:00,9.88,10.77,0,-66397,0,0
2017-09-22 16:00:00,9.87,10.89,11236,0,0,0
2017-09-25 16:00:00,9.3,9.96,0,-92802,7899620,-7812431
2017-09-26 16:00:00,9.39,9.69,0,-26412,0,0
2017-09-27 16:00:00,9.4,9.86,16605,0,0,0
2017-09-28 16:00:00,9.44,9.56,0,-30352,0,0
2017-09-29 16:00:00,9.84,10.15,59201,0,0,0
2017-10-09 16:00:00,11.15,11.71,156329,0,7433469,-7432834
2017-10-10 16:00:00,11.37,12.3,58805,0,0,0
2017-10-11 16:00:00,11.73,12.86,55865,0,0,0
2017-10-12 16:00:00,12.03,12.97,11541,0,0,0
2017-10-13 16:00:00,12.26,13.94,96802,0,0,0
2017-10-16 16:00:00,12.04,13.27,0,-67150,8011580,-8011824
2017-10-17 16:00:00,12.03,13.38,10407,0,0,0
2017-10-18 16:00:00,12.92,13.03,0,-34633,0,0
2017-10-19 16:00:00,12.55,11.97,0,-105943,0,0
2017-10-20 16:00:00,12.42,12.52,54714,0,0,0
2017-10-23 16:00:00,12.54,12.27,0,-24173,8577406,-8583590
2017-10-24 16:00:00,13.36,12.72,44818,0,0,0
2017-10-25 16:00:00,13.86,13.75,102463,0,0,0
2017-10-26 16:00:00,14.33,13.82,7683,0,0,0
2017-10-27 16:00:00,15.15,13.86,3066,0,0,0
2017-10-30 16:00:00,14.8,12.87,0,-98517,7231161,-7225004
2017-10-31 16:00:00,14.71,12.65,0,-22194,0,0
2017-11-01 16:00:00,14.42,12.64,0,-638,0,0
2017-11-02 16:00:00,14.44,12.5,0,-13841,0,0
2017-11-03 16:00:00,14.31,12.41,0,-9137,0,0
2017-11-06 16:00:00,15.12,12.35,0,-6304,7154610,-7153834
2017-11-07 16:00:00,16.07,12.99,64400,0,0,0
2017-11-08 16:00:00,15.89,13.56,56293,0,0,0
2017-11-09 16:00:00,16.69,14.1,53976,0,0,0
2017-11-10 16:00:00,17.72,13.8,0,-29881,0,0
2017-11-13 16:00:00,18.19,14.48,68122,0,8747068,-8747707
2017-11-14 16:00:00,17.36,13.67,0,-80394,0,0
2017-11-15 16:00:00,16.63,12.04,0,-162994,0,0
2017-11-16 16:00:00,17.53,13.05,100258,0,0,0
2017-11-17 16:00:00,17.98,12.24,0,-81105,0,0
2017-11-20 16:00:00,18.64,12.65,41788,0,8545375,-8545209
2017-11-21 16:00:00,20.75,14.08,142778,0,0,0
2017-11-22 16:00:00,21.03,14.35,26657,0,0,0
2017-11-23 16:00:00,17.45,11.97,0,-237323,0,0
2017-11-24 16:00:00,17.5,12.1,12211,0,0,0
2017-11-27 16:00:00,15.95,10.08,0,-201632,8900978,-8902290
2017-11-28 16:00:00,16.12,11.24,116310,0,0,0
2017-11-29 16:00:00,16.06,12.22,97412,0,0,0
2017-11-30 16:00:00,14.69,11.37,0,-84627,0,0
2017-12-01 16:00:00,14.47,11.9,53239,0,0,0
2017-12-04 16:00:00,15.06,11.59,0,-31121,7805174,-7804169
2017-12-05 16:00:00,15.67,12.21,61501,0,0,0
2017-12-06 16:00:00,14.97,11.91,0,-29395,0,0
2017-12-07 16:00:00,13.69,11.24,0,-67454,0,0
2017-12-08 16:00:00,14.62,11.44,19649,0,0,0
2017-12-11 16:00:00,16.51,12.53,109554,0,7801562,-7801271
2017-12-12 16:00:00,14.98,11.55,0,-98103,0,0
2017-12-13 16:00:00,15.95,12.34,78928,0,0,0
2017-12-14 16:00:00,15.27,11.86,0,-48191,0,0
2017-12-15 16:00:00,13.97,11.19,0,-66340,0,0
2017-12-18 16:00:00,14.1,10.96,0,-23765,7028745,-7028597
2017-12-19 16:00:00,15.53,11.66,70273,0,0,0
2017-12-20 16:00:00,15.39,11.18,0,-48019,0,0
2017-12-21 16:00:00,16.46,11.78,60599,0,0,0
2017-12-22 16:00:00,16.08,11.56,0,-22866,0,0
2017-12-25 16:00:00,15.71,10.78,0,-77417,9266181,-9266328
2017-12-26 16:00:00,16.05,11.66,87418,0,0,0
2017-12-27 16:00:00,14.27,11.2,0,-45720,0,0
2017-12-28 16:00:00,15.06,10.78,0,-41545,0,0
2017-12-29 16:00:00,15.4,11.53,74876,0,0,0
2018-01-02 16:00:00,17.02,12.91,138250,0,8586219,-8588099
2018-01-03 16:00:00,17.71,13.54,62300,0,0,0
2018-01-04 16:00:00,18.21,13.18,0,-35667,0,0
2018-01-05 16:00:00,18.49,12.84,0,-33712,0,0
2018-01-08 16:00:00,19.1,13.18,33821,0,6646995,-6645264
2018-01-09 16:00:00,19.94,13.09,0,-9143,0,0
2018-01-10 16:00:00,20.47,12.07,0,-102550,0,0
2018-01-11 16:00:00,20.4,11.72,0,-34610,0,0
2018-01-12 16:00:00,20.96,11.95,22871,0,0,0
2018-01-15 16:00:00,20.97,10.29,0,-166102,8218195,-8219877
2018-01-16 16:00:00,21.92,11.77,148563,0,0,0
2018-01-17 16:00:00,21.62,12.26,48567,0,0,0
2018-01-18 16:00:00,22.29,12.23,0,-2925,0,0
2018-01-19 16:00:00,22.69,12.1,0,-12729,0,0
2018-01-22 16:00:00,24.16,13.5,139847,0,9447908,-9445736
2018-01-23 16:00:00,25.47,14.34,84106,0,0,0
2018-01-24 16:00:00,25.68,14.55,21051,0,0,0
2018-01-25 16:00:00,24.97,13.98,0,-57093,0,0
2018-01-26 16:00:00,25.44,14.39,41154,0,0,0
2018-01-29 16:00:00,23.17,11.59,0,-280414,8110569,-8111025
2018-01-30 16:00:00,21.85,10.75,0,-83627,0,0
2018-01-31 16:00:00,22.42,10.33,0,-42458,0,0
2018-02-01 16:00:00,21.56,8.06,0,-226970,0,0
2018-02-02 16:00:00,22.28,8.57,51062,0,0,0
2018-02-05 16:00:00,22.37,7.28,0,-128864,7168868,-7171598
2018-02-06 16:00:00,18.78,4.36,0,-292261,0,0
2018-02-07 16:00:00,15.96,2.5,0,-185497,0,0
2018-02-08 16:00:00,14.86,2.27,0,-23463,0,0
2018-02-09 16:00:00,9.96,-1.24,0,-350627,0,0
2018-02-12 16:00:00,11.37,-0.01,122523,0,6592518,-6590200
2018-02-13 16:00:00,12.68,0.1,11225,0,0,0
2018-02-14 16:00:00,13.57,0.24,14205,0,0,0
2018-02-22 16:00:00,16.03,1.24,100028,0,4471590,-4470634
2018-02-23 16:00:00,16.55,1.74,50334,0,0,0
2018-02-26 16:00:00,17.91,3.44,169963,0,3063179,-3063724
2018-02-27 16:00:00,16.21,3.02,0,-42021,0,0
2018-02-28 16:00:00,15.2,3.54,51323,0,0,0
2018-03-01 16:00:00,15.92,4.45,91201,0,0,0
2018-03-02 16:00:00,14.99,3.58,0,-87289,0,0
2018-03-05 16:00:00,15.04,3.3,0,-27816,7287764,-7287893
2018-03-06 16:00:00,16.42,5.42,212707,0,0,0
2018-03-07 16:00:00,15.57,4.92,0,-50565,0,0
2018-03-08 16:00:00,16.74,5.31,39121,0,0,0
