Datetime,Benchmark,Strategy,Para1,Para2,Para3,Para4
2009-06-01 16:00:00,3.57,1.73,172541,0,9985135,0
2009-06-02 16:00:00,3.82,1.85,12862,0,0,0
2009-06-03 16:00:00,6.51,2.96,110565,0,0,0
2009-06-04 16:00:00,7.03,3.72,76262,0,0,0
2009-06-05 16:00:00,6.51,3.3,0,-41916.4,0,0
2009-06-08 16:00:00,6.84,1.06,0,-224201.6,8593080,-8926302
2009-06-09 16:00:00,7.28,0.93,0,-13295,0,0
2009-06-10 16:00:00,8.33,2.98,205448,0,0,0
2009-06-11 16:00:00,7.32,1.76,0,-122600.6,0,0
2009-06-12 16:00:00,5.31,-0.51,0,-226406,0,0
2009-06-15 16:00:00,7.48,-0.82,0,-31684,8578911,-8225038
2009-06-16 16:00:00,7.3,-0.81,1294,0,0,0
2009-06-17 16:00:00,9.09,1.72,252660,0,0,0
2009-06-18 16:00:00,10.79,3.27,155900,0,0,0
2009-06-19 16:00:00,11.61,3.17,0,-9948,0,0
2009-06-22 16:00:00,11.7,2.45,0,-72074.8,7987056,-7989480
2009-06-23 16:00:00,11.75,2.21,0,-24315,0,0
2009-06-24 16:00:00,13.08,4.69,248208,0,0,0
2009-06-25 16:00:00,12.98,4.76,6820,0,0,0
2009-06-26 16:00:00,13.36,4.57,0,-19473,0,0
2009-06-29 16:00:00,15.23,4.54,0,-2707,8421155,-8396528
2009-06-30 16:00:00,14.74,3.81,0,-72745,0,0
2009-07-01 16:00:00,17.33,4.84,103283,0,0,0
2009-07-02 16:00:00,18.94,6,115397.9,0,0,0
2009-07-03 16:00:00,20.56,6.75,74671,0,0,0
2009-07-06 16:00:00,22.29,7.18,43533.5,0,9662678,-9662909
2009-07-07 16:00:00,21.04,8.49,131277,0,0,0
2009-07-08 16:00:00,21.47,9.68,118457,0,0,0
2009-07-09 16:00:00,23.07,13.05,336711.4,0,0,0
2009-07-10 16:00:00,23.14,13.94,89211,0,0,0
2009-07-13 16:00:00,21.79,12.73,0,-120768,9880901,-9862357
2009-07-14 16:00:00,25.19,15.42,268965,0,0,0
2009-07-15 16:00:00,26.58,17.32,190450,0,0,0
2009-07-16 16:00:00,26.87,18.59,126525,0,0,0
2009-07-17 16:00:00,27.54,19.51,92208,0,0,0
2009-07-20 16:00:00,30.13,21.38,187084,0,10041919,-10455185
2009-07-21 16:00:00,28.27,19.7,0,-168496,0,0
2009-07-22 16:00:00,30.7,22.1,240539,0,0,0
2009-07-23 16:00:00,32.33,24.04,193821,0,0,0
2009-07-24 16:00:00,32.9,23.81,0,-22878,0,0
2009-07-27 16:00:00,35.65,25.18,136492,0,10323481,-9899944
2009-07-28 16:00:00,36.09,27.11,193572,0,0,0
2009-07-29 16:00:00,28.95,20.7,0,-640801,0,0
2009-07-30 16:00:00,31.71,22.23,152216,0,0,0
2009-07-31 16:00:00,35.33,26.2,397811,0,0,0
2009-08-03 16:00:00,37.23,27.93,172677,0,11023281,-11039929
2009-08-04 16:00:00,37.21,29.37,143893,0,0,0
2009-08-05 16:00:00,35.56,28.2,0,-117313.6,0,0
2009-08-06 16:00:00,32.74,25.32,0,-287787,0,0
2009-08-07 16:00:00,28.82,22.01,0,-331105,0,0
2009-08-10 16:00:00,28.44,20.76,0,-124365,10661692,-11081703
2009-08-11 16:00:00,28.87,20.78,1884,0,0,0
2009-08-12 16:00:00,23.11,14.3,0,-647877,0,0
2009-08-13 16:00:00,24.68,16.38,207816,0,0,0
2009-08-14 16:00:00,21.19,13.02,0,-336471,0,0
2009-08-17 16:00:00,13.79,4.18,0,-883592,9195715,-8752170
2009-08-18 16:00:00,14.94,6.14,195720,0,0,0
2009-08-19 16:00:00,9.24,0.9,0,-523890,0,0
2009-08-20 16:00:00,13.94,4.96,405734,0,0,0
2009-08-21 16:00:00,16.09,6.72,176680,0,0,0
2009-08-24 16:00:00,17.03,7.14,41989,0,9672852,-9684876
2009-08-25 16:00:00,12.69,3.32,0,-382694,0,0
2009-08-26 16:00:00,14.95,6.37,304955,0,0,0
2009-08-27 16:00:00,14.37,6.09,0,-28038,0,0
2009-08-28 16:00:00,10.4,2.76,0,-332950,0,0
2009-08-31 16:00:00,2.56,-6.37,0,-912909,8421909,-9094180
2009-09-01 16:00:00,3.04,-6.72,0,-35034,0,0
2009-09-02 16:00:00,4.75,-5.14,157734,0,0,0
2009-09-03 16:00:00,10.59,1.23,637756,0,0,0
2009-09-04 16:00:00,11.5,1.86,62928,0,0,0
2009-09-07 16:00:00,12.48,2.28,41715,0,9570345,-8895139
2009-09-08 16:00:00,14.9,4.33,205562,0,0,0
2009-09-09 16:00:00,15.77,6.21,187411,0,0,0
2009-09-10 16:00:00,14.61,5.64,0,-56525,0,0
2009-09-11 16:00:00,17.34,6.31,66906,0,0,0
2009-09-14 16:00:00,19.34,8.27,195378,0,7826558,-7817193
2009-09-15 16:00:00,19.67,10.26,199818,0,0,0
2009-09-16 16:00:00,18.06,10.03,0,-23764,0,0
2009-09-17 16:00:00,20.31,11.68,165509,0,0,0
2009-09-18 16:00:00,15.94,7.42,0,-426564,0,0
2009-09-21 16:00:00,16.27,6.11,0,-130456,9868585,-9867766
2009-09-22 16:00:00,13.46,2.82,0,-328984,0,0
2009-09-23 16:00:00,10.88,-0.04,0,-286127,0,0
2009-09-24 16:00:00,11.64,1.04,108189,0,0,0
2009-09-25 16:00:00,10.83,-0.27,0,-131594,0,0
2009-09-28 16:00:00,7.72,-4.28,0,-400296,7352269,-7366666
2009-09-29 16:00:00,7.7,-4.76,0,-48474,0,0
2009-09-30 16:00:00,8.88,-4.05,71465,0,0,0
2009-10-09 16:00:00,14.64,1.06,511036,0,7542986,-7539127
2009-10-12 16:00:00,14.2,0.25,0,-81123,3392801,-3388101
2009-10-13 16:00:00,15.9,2.05,179288,0,0,0
2009-10-14 16:00:00,16.95,2.47,42163,0,0,0
2009-10-15 16:00:00,17.39,3.04,57102,0,0,0
2009-10-16 16:00:00,17.47,2.77,0,-26959,0,0
2009-10-19 16:00:00,20.63,4.27,149636,0,6919154,-6913250
2009-10-20 16:00:00,22.39,6.39,212213,0,0,0
2009-10-21 16:00:00,22.09,5.67,0,-71649,0,0
2009-10-22 16:00:00,21.29,5.21,0,-45974,0,0
2009-10-23 16:00:00,23.68,6.87,165806,0,0,0
2009-10-26 16:00:00,23.72,6.78,0,-8540,8230392,-8230926
2009-10-27 16:00:00,20.11,3.79,0,-299330,0,0
2009-10-28 16:00:00,20.64,4.24,44953,0,0,0
2009-10-29 16:00:00,17.66,1.78,0,-246345,0,0
2009-10-30 16:00:00,18.87,2.93,115320,0,0,0
2009-11-02 16:00:00,22.94,5.46,253230,0,8110724,-8110187
2009-11-03 16:00:00,24.49,7.22,175905,0,0,0
2009-11-04 16:00:00,25.15,8.2,97900,0,0,0
2009-11-05 16:00:00,25.53,8.67,47174,0,0,0
2009-11-06 16:00:00,26.21,10.27,159401,0,0,0
2009-11-09 16:00:00,26.67,10.26,0,-718,9936610,-9937224
2009-11-10 16:00:00,26.96,10.78,51872,0,0,0
2009-11-11 16:00:00,26.67,10.55,0,-23109,0,0
2009-11-12 16:00:00,26.82,11.41,86293,0,0,0
2009-11-13 16:00:00,27.5,12.53,112243,0,0,0
2009-11-16 16:00:00,31.38,15.28,274659,0,9462303,-9468303
2009-11-17 16:00:00,31.48,15.79,51171,0,0,0
2009-11-18 16:00:00,31.54,16.33,54255,0,0,0
2009-11-19 16:00:00,31.99,17.44,111173,0,0,0
2009-11-20 16:00:00,31.57,17.72,27664,0,0,0
2009-11-23 16:00:00,32.82,18.72,100101,0,11039132,-11032464
2009-11-24 16:00:00,28.57,14.55,0,-416742,0,0
2009-11-25 16:00:00,31.52,17.15,259123,0,0,0
2009-11-26 16:00:00,26.31,12.62,0,-452696,0,0
2009-11-27 16:00:00,22.57,9.72,0,-290030,0,0
2009-11-30 16:00:00,27.25,13.12,340407,0,7764306,-7764631
2009-12-01 16:00:00,29.03,14.93,180551,0,0,0
2009-12-02 16:00:00,30.35,15.62,69640,0,0,0
2009-12-03 16:00:00,30.12,15.88,25808,0,0,0
2009-12-04 16:00:00,32.02,15.75,0,-13724,0,0
2009-12-07 16:00:00,32.94,16.56,81056,0,8523490,-8523725
2009-12-08 16:00:00,31.32,16.02,0,-53505,0,0
2009-12-09 16:00:00,28.8,14.31,0,-171268,0,0
2009-12-10 16:00:00,29.62,14.86,55035,0,0,0
2009-12-11 16:00:00,29.54,14.96,10022,0,0,0
2009-12-14 16:00:00,30.91,14.62,0,-34170,10748515,-10748505
