时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2009-06-01 16:00:00,3.57,0.98,98130,0,9667130,0
2009-06-02 16:00:00,3.82,1.31,32886,0,0,0
2009-06-03 16:00:00,6.51,2.91,160378,0,0,0
2009-06-04 16:00:00,7.03,3.7,78779,0,0,0
2009-06-05 16:00:00,6.51,3.16,0,-53967,0,0
2009-06-08 16:00:00,6.84,1.94,0,-122009.4,8960763,-8622844
2009-06-09 16:00:00,7.28,2.27,33170,0,0,0
2009-06-10 16:00:00,8.33,3.35,107523,0,0,0
2009-06-11 16:00:00,7.32,2.53,0,-81895,0,0
2009-06-12 16:00:00,5.31,0.28,0,-224774.4,0,0
2009-06-15 16:00:00,7.48,0.9,61347,0,9012134,-9000445
2009-06-16 16:00:00,7.3,1.03,13354,0,0,0
2009-06-17 16:00:00,9.09,2.74,171421,0,0,0
2009-06-18 16:00:00,10.79,3.56,81403,0,0,0
2009-06-19 16:00:00,11.61,3.3,0,-25824,0,0
2009-06-22 16:00:00,11.7,3.06,0,-23708,7974268,-7968743
2009-06-23 16:00:00,11.75,2.77,0,-28937.8,0,0
2009-06-24 16:00:00,13.08,4.73,195706,0,0,0
2009-06-25 16:00:00,12.98,4.84,11488,0,0,0
2009-06-26 16:00:00,13.36,5.05,20090,0,0,0
2009-06-29 16:00:00,15.23,5.42,37275,0,9461017,-9446183
2009-06-30 16:00:00,14.74,4.36,0,-106137,0,0
2009-07-01 16:00:00,17.33,5.68,131984,0,0,0
2009-07-02 16:00:00,18.94,6.67,98981,0,0,0
2009-07-03 16:00:00,20.56,7.29,62798,0,0,0
2009-07-06 16:00:00,22.29,7.95,65808,0,8974974,-8971696
2009-07-07 16:00:00,21.04,8.46,50806,0,0,0
2009-07-08 16:00:00,21.47,8.67,21225,0,0,0
2009-07-09 16:00:00,23.07,10.63,195448.2,0,0,0
2009-07-10 16:00:00,23.14,11.01,38417,0,0,0
2009-07-13 16:00:00,21.79,9.64,0,-136806,9656490,-9660064
2009-07-14 16:00:00,25.19,12.17,252972,0,0,0
2009-07-15 16:00:00,26.58,15.31,313920,0,0,0
2009-07-16 16:00:00,26.87,15.36,4895.68,0,0,0
2009-07-17 16:00:00,27.54,18.66,329421,0,0,0
2009-07-20 16:00:00,30.13,20.49,183202,0,9993008,-10354428
2009-07-21 16:00:00,28.27,17.96,0,-252525,0,0
2009-07-22 16:00:00,30.7,20.02,206130,0,0,0
2009-07-23 16:00:00,32.33,21.04,101946,0,0,0
2009-07-24 16:00:00,32.9,20.67,0,-36842,0,0
