Datetime,Benchmark,Strategy,Para1,Para2,Para3,Para4
2009-06-01 16:00:00,3.57,0.64,64333,0,10000316,0
2009-06-02 16:00:00,3.82,0.86,21385,0,0,0
2009-06-03 16:00:00,6.51,2.34,148701,0,0,0
2009-06-04 16:00:00,7.03,2.23,0,-11450,0,0
2009-06-05 16:00:00,6.51,1.33,0,-89685.4,0,0
2009-06-08 16:00:00,6.84,-0.48,0,-181311,9796685,-9808988
2009-06-09 16:00:00,7.28,0.32,80255,0,0,0
2009-06-10 16:00:00,8.33,1.36,103350,0,0,0
2009-06-11 16:00:00,7.32,0.91,0,-44817,0,0
2009-06-12 16:00:00,5.31,-1.61,0,-251843.92,0,0
2009-06-15 16:00:00,7.48,-1.52,9429,0,8199999,-9156813
2009-06-16 16:00:00,7.3,-1.66,0,-14421,0,0
2009-06-17 16:00:00,9.09,-0.6,106171,0,0,0
2009-06-18 16:00:00,10.79,-0.12,47641.4,0,0,0
2009-06-19 16:00:00,11.61,0.59,70865,0,0,0
2009-06-22 16:00:00,11.7,-1.1,0,-168240.28,9426275,-8451838
2009-06-23 16:00:00,11.75,-2.06,0,-95873,0,0
2009-06-24 16:00:00,13.08,0.12,217604,0,0,0
2009-06-25 16:00:00,12.98,-0.19,0,-30738,0,0
2009-06-26 16:00:00,13.36,0.53,71477,0,0,0
2009-06-29 16:00:00,15.23,0.56,2764,0,4709866,-9414612
2009-06-30 16:00:00,14.74,-0,0,-55988,0,0
2009-07-01 16:00:00,17.33,0.75,75671,0,0,0
2009-07-02 16:00:00,18.94,1.38,62646,0,0,0
2009-07-03 16:00:00,20.56,1.55,16631,0,0,0
2009-07-06 16:00:00,22.29,0.3,0,-124814,9807892,-5089635
2009-07-07 16:00:00,21.04,-0.31,0,-61028,0,0
2009-07-08 16:00:00,21.47,1.15,145858,0,0,0
2009-07-09 16:00:00,23.07,2.53,138414,0,0,0
2009-07-10 16:00:00,23.14,3.49,96420.48,0,0,0
2009-07-13 16:00:00,21.79,1.92,0,-157505,9622722,-9609612
2009-07-14 16:00:00,25.19,4.69,276962.8,0,0,0
2009-07-15 16:00:00,26.58,6.97,228011,0,0,0
2009-07-16 16:00:00,26.87,6.43,0,-54100.4,0,0
2009-07-17 16:00:00,27.54,8.93,250634.2,0,0,0
2009-07-20 16:00:00,30.13,9.27,33847.4,0,6211914,-9457575.4
2009-07-21 16:00:00,28.27,8.08,0,-118805,0,0
2009-07-22 16:00:00,30.7,8.79,70477,0,0,0
2009-07-23 16:00:00,32.33,9.4,60879,0,0,0
2009-07-24 16:00:00,32.9,9.07,0,-33307,0,0
2009-07-27 16:00:00,35.65,9.12,5358.6,0,9083783,-6926108
2009-07-28 16:00:00,36.09,10.96,184347,0,0,0
2009-07-29 16:00:00,28.95,5.25,0,-571326,0,0
2009-07-30 16:00:00,31.71,6.2,94916,0,0,0
2009-07-31 16:00:00,35.33,8.87,267401,0,0,0
2009-08-03 16:00:00,37.23,9.06,19165,0,8392450,-8395976
2009-08-04 16:00:00,37.21,10.1,103277,0,0,0
2009-08-05 16:00:00,35.56,9.94,0,-15850,0,0
