时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2009-06-01 16:00:00,3.57,1.25,125005,0,9657003,0
2009-06-02 16:00:00,3.82,1.67,41669,0,0,0
2009-06-03 16:00:00,6.51,3.49,181976,0,0,0
2009-06-04 16:00:00,7.03,4.17,68045,0,0,0
2009-06-05 16:00:00,6.51,3.27,0,-89946.4,0,0
2009-06-08 16:00:00,6.84,2.12,0,-114533,9641210,-9622518
2009-06-09 16:00:00,7.28,2.72,59344,0,0,0
2009-06-10 16:00:00,8.33,5.32,260482.88,0,0,0
2009-06-11 16:00:00,7.32,3.57,0,-175134,0,0
2009-06-12 16:00:00,5.31,0.82,0,-275318.4,0,0
2009-06-15 16:00:00,7.48,1.56,74849,0,7752990,-7412427
2009-06-16 16:00:00,7.3,1.4,0,-16662,0,0
2009-06-17 16:00:00,9.09,2.7,129958,0,0,0
2009-06-18 16:00:00,10.79,3.54,84019.8,0,0,0
2009-06-19 16:00:00,11.61,4.98,143942,0,0,0
2009-06-22 16:00:00,11.7,4.89,0,-8645,9170483,-9512238
2009-06-23 16:00:00,11.75,5.2,30510,0,0,0
2009-06-24 16:00:00,13.08,7.05,185139,0,0,0
2009-06-25 16:00:00,12.98,6.97,0,-7466,0,0
2009-06-26 16:00:00,13.36,7.6,62540,0,0,0
2009-06-29 16:00:00,15.23,8.14,54156.8,0,8263490,-8628560
2009-06-30 16:00:00,14.74,7.22,0,-91578,0,0
2009-07-01 16:00:00,17.33,8.42,119492,0,0,0
2009-07-02 16:00:00,18.94,9.03,60834,0,0,0
2009-07-03 16:00:00,20.56,9.83,80294,0,0,0
2009-07-06 16:00:00,22.29,12.26,242893,0,9193014,-8455703
2009-07-07 16:00:00,21.04,12.28,2022,0,0,0
2009-07-08 16:00:00,21.47,13.28,100588.4,0,0,0
2009-07-09 16:00:00,23.07,15.65,236359,0,0,0
2009-07-10 16:00:00,23.14,16.02,37539,0,0,0
2009-07-13 16:00:00,21.79,15.07,0,-95415.48,8879035,-8870169
2009-07-14 16:00:00,25.19,17.93,286376,0,0,0
2009-07-15 16:00:00,26.58,20.03,209789,0,0,0
2009-07-16 16:00:00,26.87,19.04,0,-99464,0,0
2009-07-17 16:00:00,27.54,20.19,115627,0,0,0
2009-07-20 16:00:00,30.13,23.55,335269,0,8881189,-8873459
2009-07-21 16:00:00,28.27,20.16,0,-338254,0,0
2009-07-22 16:00:00,30.7,21.91,174238,0,0,0
2009-07-23 16:00:00,32.33,23.09,118230,0,0,0
2009-07-24 16:00:00,32.9,23.31,22650,0,0,0
2009-07-27 16:00:00,35.65,24.89,157647.2,0,9901079,-10309558
2009-07-28 16:00:00,36.09,27.4,251066,0,0,0
2009-07-29 16:00:00,28.95,21.06,0,-634296,0,0
2009-07-30 16:00:00,31.71,22.53,147074,0,0,0
2009-07-31 16:00:00,35.33,27.21,467804,0,0,0
2009-08-03 16:00:00,37.23,30.65,343905,0,11932319,-11517815
2009-08-04 16:00:00,37.21,31.74,109431,0,0,0
2009-08-05 16:00:00,35.56,29.4,0,-233868.2,0,0
2009-08-06 16:00:00,32.74,26.3,0,-310299,0,0
2009-08-07 16:00:00,28.82,22.65,0,-364763,0,0
2009-08-10 16:00:00,28.44,21.97,0,-68406,10721384,-10735750
2009-08-11 16:00:00,28.87,22.75,78129,0,0,0
2009-08-12 16:00:00,23.11,16.93,0,-582043,0,0
2009-08-13 16:00:00,24.68,18.18,124700,0,0,0
2009-08-14 16:00:00,21.19,13.78,0,-439390,0,0
2009-08-17 16:00:00,13.79,6.31,0,-747192,9388848,-9371073
2009-08-18 16:00:00,14.94,8.02,170870,0,0,0
2009-08-19 16:00:00,9.24,0.7,0,-731933,0,0
2009-08-20 16:00:00,13.94,4.86,415873,0,0,0
2009-08-21 16:00:00,16.09,7.36,250523,0,0,0
2009-08-24 16:00:00,17.03,9.18,181637,0,9037548,-9037472
2009-08-25 16:00:00,12.69,5.84,0,-334299,0,0
2009-08-26 16:00:00,14.95,9.22,338746,0,0,0
2009-08-27 16:00:00,14.37,9.48,25751,0,0,0
2009-08-28 16:00:00,10.4,5.86,0,-361864,0,0
2009-08-31 16:00:00,2.56,-2.44,0,-830425,9353951,-9349514
2009-09-01 16:00:00,3.04,-3.16,0,-71519,0,0
2009-09-02 16:00:00,4.75,-1.7,145507,0,0,0
2009-09-03 16:00:00,10.59,4.3,600648,0,0,0
2009-09-04 16:00:00,11.5,5.82,151311.6,0,0,0
2009-09-07 16:00:00,12.48,6.01,18865,0,8548697,-8562291
2009-09-08 16:00:00,14.9,8.9,289778,0,0,0
2009-09-09 16:00:00,15.77,10.67,176872,0,0,0
2009-09-10 16:00:00,14.61,10.53,0,-14241,0,0
2009-09-11 16:00:00,17.34,12.1,156768,0,0,0
2009-09-14 16:00:00,19.34,14.23,213559,0,9760090,-10117629
2009-09-15 16:00:00,19.67,14.5,26590,0,0,0
2009-09-16 16:00:00,18.06,13.97,0,-53347,0,0
2009-09-17 16:00:00,20.31,16.86,289730,0,0,0
2009-09-18 16:00:00,15.94,13.03,0,-382946,0,0
2009-09-21 16:00:00,16.27,12.55,0,-48572,8229229,-8219028
2009-09-22 16:00:00,13.46,9.81,0,-273646.4,0,0
2009-09-23 16:00:00,10.88,6.95,0,-285993,0,0
2009-09-24 16:00:00,11.64,7.78,82636,0,0,0
2009-09-25 16:00:00,10.83,6.88,0,-89784,0,0
2009-09-28 16:00:00,7.72,3.23,0,-364987,8920215,-8560759
2009-09-29 16:00:00,7.7,2.12,0,-110736,0,0
2009-09-30 16:00:00,8.88,3.72,160171,0,0,0
2009-10-09 16:00:00,14.64,8.95,522660,0,8852856,-8842861
2009-10-12 16:00:00,14.2,9.25,30014,0,6933706,-7297544
2009-10-13 16:00:00,15.9,11.24,198588,0,0,0
2009-10-14 16:00:00,16.95,11.96,71892,0,0,0
2009-10-15 16:00:00,17.39,12.28,32763,0,0,0
2009-10-16 16:00:00,17.47,12.44,15580,0,0,0
2009-10-19 16:00:00,20.63,14.88,243603,0,9387037,-9022748
2009-10-20 16:00:00,22.39,16.5,162402,0,0,0
2009-10-21 16:00:00,22.09,16.05,0,-44695,0,0
2009-10-22 16:00:00,21.29,15.5,0,-55196,0,0
2009-10-23 16:00:00,23.68,17.3,180059,0,0,0
2009-10-26 16:00:00,23.72,16.69,0,-60793,10164274,-10161254
2009-10-27 16:00:00,20.11,12.76,0,-393746,0,0
2009-10-28 16:00:00,20.64,14.29,153811,0,0,0
2009-10-29 16:00:00,17.66,11.37,0,-292270,0,0
2009-10-30 16:00:00,18.87,11.98,61240,0,0,0
2009-11-02 16:00:00,22.94,14.86,287193,0,9868234,-9869976
2009-11-03 16:00:00,24.49,17.11,225192,0,0,0
2009-11-04 16:00:00,25.15,17.37,25948,0,0,0
2009-11-05 16:00:00,25.53,18.54,116882,0,0,0
2009-11-06 16:00:00,26.21,20.29,175012,0,0,0
2009-11-09 16:00:00,26.67,20.75,45906,0,11206570,-11211988
2009-11-10 16:00:00,26.96,20.43,0,-31750,0,0
2009-11-11 16:00:00,26.67,20.43,0,-44,0,0
2009-11-12 16:00:00,26.82,20.6,17704,0,0,0
2009-11-13 16:00:00,27.5,21.2,59240,0,0,0
2009-11-16 16:00:00,31.38,24.29,309228,0,10560991,-10553603
2009-11-17 16:00:00,31.48,24.57,27894,0,0,0
2009-11-18 16:00:00,31.54,24.61,4177,0,0,0
2009-11-19 16:00:00,31.99,26.07,145861,0,0,0
2009-11-20 16:00:00,31.57,25.83,0,-24079,0,0
2009-11-23 16:00:00,32.82,27.05,122324,0,9292787,-9292780
2009-11-24 16:00:00,28.57,22.21,0,-484535,0,0
2009-11-25 16:00:00,31.52,25.79,358962,0,0,0
2009-11-26 16:00:00,26.31,20.63,0,-516258,0,0
2009-11-27 16:00:00,22.57,17.06,0,-357196,0,0
2009-11-30 16:00:00,27.25,21.23,416950,0,10611567,-10618271
2009-12-01 16:00:00,29.03,23.95,271880,0,0,0
2009-12-02 16:00:00,30.35,24.92,96924,0,0,0
2009-12-03 16:00:00,30.12,25.98,106055,0,0,0
2009-12-04 16:00:00,32.02,26.12,14262,0,0,0
2009-12-07 16:00:00,32.94,26.67,55020,0,10515121,-10508218
2009-12-08 16:00:00,31.32,25.26,0,-141327,0,0
2009-12-09 16:00:00,28.8,23.21,0,-204535,0,0
2009-12-10 16:00:00,29.62,23.65,43688,0,0,0
2009-12-11 16:00:00,29.54,23.43,0,-22406,0,0
2009-12-14 16:00:00,30.91,24.09,66092,0,10702696,-10714430
2009-12-15 16:00:00,29.84,22.84,0,-124178,0,0
2009-12-16 16:00:00,29.03,21.9,0,-94315,0,0
2009-12-17 16:00:00,26.11,18.96,0,-294198,0,0
2009-12-18 16:00:00,22.9,16.08,0,-288158,0,0
2009-12-21 16:00:00,23.08,16.71,63152,0,10104655,-10092982
2009-12-22 16:00:00,19.78,13.67,0,-304090,0,0
2009-12-23 16:00:00,20.9,15.32,165527,0,0,0
2009-12-24 16:00:00,24.61,19.3,397205,0,0,0
2009-12-25 16:00:00,24.1,19.13,0,-16258,0,0
2009-12-28 16:00:00,26.04,20.56,142598,0,9895852,-9897031
2009-12-29 16:00:00,26.85,20.98,42489,0,0,0
2009-12-30 16:00:00,28.96,22.38,139245,0,0,0
2009-12-31 16:00:00,29.57,22.9,52666,0,0,0
2010-01-04 16:00:00,28.1,21.7,0,-120047,11125063,-11124941
2010-01-05 16:00:00,29.15,23.34,163609,0,0,0
2010-01-06 16:00:00,28.34,22.85,0,-49281,0,0
2010-01-07 16:00:00,25.79,20.34,0,-250745,0,0
2010-01-08 16:00:00,26.1,21.19,84736,0,0,0
2010-01-11 16:00:00,26.17,22.08,88997,0,10787447,-10798032
2010-01-12 16:00:00,28.09,25.14,305918,0,0,0
2010-01-13 16:00:00,23.97,23.43,0,-170316,0,0
2010-01-14 16:00:00,25.7,25.98,254888,0,0,0
2010-01-15 16:00:00,26.2,26.64,65755,0,0,0
2010-01-18 16:00:00,26.85,28.12,148350,0,10994852,-10988676
2010-01-19 16:00:00,27.1,27.54,0,-58436,0,0
2010-01-20 16:00:00,23,22.85,0,-469143,0,0
2010-01-21 16:00:00,23.51,22.98,13849,0,0,0
2010-01-22 16:00:00,21.98,20.35,0,-262985,0,0
2010-01-25 16:00:00,20.59,18.61,0,-174185,9949622,-9943474
